frame,work_ms,stream_ms,interval_ms,pending,inflight,ready
1,18.429883,0.001520,0.000160,0,0,true
2,9.204207,0.001300,18.436543,0,0,true
3,7.577546,0.000930,9.209577,0,0,true
4,2.681512,0.000760,7.606916,0,0,true
5,7.680416,0.000650,8.740556,0,0,true
6,6.942455,0.000610,7.686706,0,0,true
7,4.130553,0.001190,9.047686,0,0,true
8,7.807156,0.001330,8.191336,0,0,true
9,6.094874,0.000670,7.814956,0,0,true
10,4.248953,0.038790,9.156647,0,0,true
11,7.860415,0.000120,8.312136,0,0,true
12,6.580325,0.000110,7.870285,0,0,true
13,3.938162,0.000180,8.650397,0,0,true
14,7.623916,0.000150,7.997565,0,0,true
15,7.026785,0.000100,8.682697,0,0,true
16,4.045173,0.000110,8.086516,0,0,true
17,6.290024,0.001300,8.106586,0,0,true
18,7.656625,0.000200,8.351456,0,0,true
19,5.408294,0.000100,8.716396,0,0,true
20,6.651725,0.000190,8.470316,0,0,true
21,6.368594,0.000120,7.710786,0,0,true
22,3.363242,0.000370,8.403286,0,0,true
23,6.434235,0.000250,8.423926,0,0,true
24,7.739076,0.000190,8.496756,0,0,true
25,5.538545,0.000230,8.799026,0,0,true
26,3.850083,0.000250,7.598526,0,0,true
27,7.808425,0.000220,8.909747,0,0,true
28,6.782845,0.000180,7.814365,0,0,true
29,4.511173,0.000240,8.843897,0,0,true
30,8.602856,0.000590,7.578295,0,0,true
31,8.095946,0.000650,8.619086,0,0,true
32,4.909454,0.000790,8.111786,0,0,true
33,9.233897,0.004300,9.044327,0,0,true
34,7.456005,0.000480,9.244437,0,0,true
35,3.742473,0.000350,7.517355,0,0,true
36,5.578115,0.000240,8.823766,0,0,true
37,7.956906,0.000140,8.639637,0,0,true
38,7.435195,0.327990,7.960876,71,0,true
39,3.976953,0.195570,8.499436,69,0,true
40,7.010625,0.107560,8.039176,67,0,true
41,7.359866,0.141951,8.035765,65,0,true
42,4.413373,0.212400,8.425317,63,0,true
43,7.739815,0.154900,8.475736,61,0,true
44,7.110505,0.130340,8.804436,59,0,true
45,4.145223,0.085030,8.174416,57,0,true
46,7.027125,0.119410,8.209066,55,0,true
47,7.188405,0.080970,8.091206,53,0,true
48,4.422793,0.140540,8.252756,51,0,true
49,7.521896,0.102120,8.484566,49,0,true
50,8.872127,1.414011,8.586806,119,0,true
51,4.943113,0.078340,8.876427,117,0,true
52,3.871382,0.088960,8.004666,115,0,true
53,7.699186,0.144000,7.934195,113,0,true
54,7.576505,0.119820,8.758497,111,0,true
55,5.268454,0.114380,8.636866,109,0,true
56,7.443275,0.085730,8.338476,107,0,true
57,5.348714,0.088851,7.450655,105,0,true
58,4.484033,0.085190,8.409717,103,0,true
59,7.803676,0.079460,8.546556,101,0,true
60,9.283747,1.859632,8.866336,100,0,true
61,4.453443,0.086560,9.288267,98,0,true
62,3.509633,0.081881,7.515595,96,0,true
63,7.536785,0.076140,8.571867,94,0,true
64,7.443435,0.067850,8.597376,92,0,true
65,5.834064,0.082370,8.505276,90,0,true
66,4.471353,0.073320,7.898996,88,0,true
67,7.525866,0.074750,8.533316,86,0,true
68,7.010235,0.070060,8.639476,84,0,true
69,4.143683,0.070750,8.090676,82,0,true
70,6.978415,0.082800,8.217976,80,0,true
71,6.894225,0.060940,8.034666,78,0,true
72,5.175333,0.130630,8.954177,76,0,true
73,7.362135,0.070280,8.234116,74,0,true
74,6.519014,0.069540,8.420536,72,0,true
75,3.837793,0.062190,7.577915,70,0,true
76,7.415105,0.060040,8.895327,68,0,true
77,7.130355,0.094440,8.474466,66,0,true
78,4.715033,0.416850,8.190346,64,0,true
79,6.318445,0.074681,7.773515,62,0,true
80,7.333475,0.066560,8.375987,60,0,true
81,5.292134,0.048860,8.390216,58,0,true
82,6.988625,0.196520,8.350796,56,0,true
83,7.329166,0.087940,9.048956,54,0,true
84,4.789554,0.058510,8.385696,52,0,true
85,5.915634,0.065110,7.846586,50,0,true
86,7.466095,0.172100,7.972566,120,0,true
87,5.191624,0.085780,8.526716,118,0,true
88,6.639715,0.086060,8.251586,116,0,true
89,7.474786,0.146071,8.700576,114,0,true
90,5.662034,0.273720,8.534647,112,0,true
91,5.048354,0.103500,7.719655,110,0,true
92,7.723925,0.083370,9.106917,108,0,true
