frame,work_ms,stream_ms,interval_ms,pending,inflight,ready
1,18.919454,0.004070,0.000190,0,0,true
2,9.084076,0.004030,18.923794,0,0,true
3,8.217546,0.003870,9.087696,0,0,true
4,4.150243,0.004070,8.223426,0,0,true
5,4.542784,0.002980,8.209356,0,0,true
6,7.620165,0.002600,8.601397,0,0,true
7,6.871955,0.001980,7.624315,0,0,true
8,4.200813,0.001730,8.883987,0,0,true
9,7.665185,0.002370,8.261896,0,0,true
10,5.545814,0.002220,7.670755,0,0,true
11,4.170453,0.002780,8.606076,0,0,true
12,7.747086,0.002870,8.232066,0,0,true
13,7.175815,0.002280,8.804467,0,0,true
14,4.025683,0.003100,8.236546,0,0,true
15,6.809405,0.002490,8.084056,0,0,true
16,7.453236,0.002730,8.870726,0,0,true
17,4.511633,0.002510,7.457696,0,0,true
18,4.576933,0.002470,8.571616,0,0,true
19,7.733166,0.002490,8.636096,0,0,true
20,6.570164,0.002370,7.741236,0,0,true
21,3.890163,0.001890,8.628146,0,0,true
22,8.325326,0.004500,8.950836,0,0,true
23,7.678735,0.005700,8.333277,0,0,true
24,4.349713,0.004940,7.685245,0,0,true
25,5.678594,0.005030,8.411046,0,0,true
26,7.993525,0.003930,8.739197,0,0,true
27,6.812915,0.004080,7.998955,0,0,true
28,4.228813,0.003900,8.871427,0,0,true
29,8.019186,0.004250,8.300996,0,0,true
30,5.986664,0.004660,8.023936,0,0,true
31,3.445192,0.002160,8.043766,0,0,true
32,7.741335,0.002830,8.504696,0,0,true
33,7.347565,0.001980,8.798696,0,0,true
34,4.002393,0.001990,7.352415,0,0,true
35,6.025034,0.002720,9.063987,0,0,true
36,7.741536,0.002770,8.087156,0,0,true
37,5.832845,0.002160,8.801426,0,0,true
38,4.926294,0.291420,7.894806,87,32,true
39,7.681425,0.002460,7.985896,87,32,true
40,6.149905,0.002800,8.752086,87,32,true
41,4.370473,0.002620,8.209066,87,32,true
42,7.807566,0.002240,8.428146,87,32,true
43,6.004544,0.002080,7.811646,87,32,true
44,4.267843,0.002220,9.063907,87,32,true
45,7.836035,0.002450,8.324496,87,32,true
46,6.306915,0.002110,7.840075,87,32,true
47,3.867333,0.004200,8.365466,87,32,true
48,7.810586,0.004110,8.926857,87,32,true
49,7.071475,0.003780,7.815566,87,32,true
50,4.351803,0.137870,8.132036,173,32,true
51,7.363255,0.005670,8.416306,173,32,true
52,7.658725,0.226600,8.423326,171,32,true
53,4.252003,0.002640,8.720776,171,32,true
54,7.152005,0.004760,8.312786,171,32,true
55,7.614376,0.523241,8.213866,151,32,true
56,4.641694,0.426921,8.677146,119,32,true
57,4.806454,0.428270,7.700166,87,32,true
58,7.699975,0.062940,8.886037,83,32,true
59,6.672035,0.002650,7.704055,83,32,true
60,9.793758,0.042871,8.732686,83,32,true
61,4.807053,0.027100,9.796968,83,32,true
62,3.859103,0.002240,7.867745,83,32,true
63,7.456366,0.002250,7.918716,83,32,true
64,7.187116,0.001850,8.514876,83,32,true
65,4.578214,0.040120,8.245546,83,32,true
66,7.060285,0.001900,8.638507,83,32,true
67,6.968066,0.001520,8.117765,83,32,true
68,5.186334,0.001940,9.080897,83,32,true
69,7.650876,0.001750,8.283746,83,32,true
70,5.316784,0.001600,7.682936,83,32,true
71,6.359964,0.508470,8.375796,77,32,true
72,7.828246,0.662580,8.416896,48,32,true
73,5.612394,0.491921,8.888866,16,16,true
74,4.474173,0.203050,7.670026,0,0,true
75,7.436116,0.002370,8.534656,0,0,true
76,7.071305,0.002100,8.495646,0,0,true
77,4.354623,0.001490,8.128776,0,0,true
78,7.031835,0.002010,8.412456,0,0,true
79,6.872365,0.001660,8.089396,0,0,true
80,4.644543,0.002320,8.943387,0,0,true
81,7.384516,0.002380,7.754115,0,0,true
82,6.716754,0.002470,8.446097,0,0,true
83,4.486893,0.034920,8.777816,0,0,true
84,7.487676,0.001720,7.546165,0,0,true
85,6.863405,0.001740,8.548687,0,0,true
86,4.957534,0.056250,8.925636,87,32,true
87,4.053173,0.461140,8.017726,55,32,true
88,7.325765,0.547830,8.113306,30,30,true
89,7.992186,0.364510,8.384606,0,0,true
90,4.310893,0.001570,7.998926,0,0,true
91,5.410504,0.002200,8.373626,0,0,true
92,7.615036,0.002100,8.472056,0,0,true
93,7.045545,0.001990,8.723326,0,0,true
94,4.221763,0.002140,8.135106,0,0,true
95,7.287406,0.001970,8.297966,0,0,true
96,7.129996,0.002110,8.359616,0,0,true
97,4.264613,0.002210,8.190096,0,0,true
98,7.315266,0.001970,8.322846,0,0,true
99,7.149186,0.002770,8.376466,0,0,true
100,3.882583,0.002370,8.206226,0,0,true
101,6.928995,0.001540,8.938747,0,0,true
102,7.062245,0.001160,7.984176,0,0,true
103,4.155673,0.001340,8.149166,0,0,true
104,6.904105,0.002250,8.215556,0,0,true
105,7.276985,0.001390,8.962816,0,0,true
106,5.068284,0.002000,8.337496,0,0,true
107,6.300975,0.001910,8.139406,0,0,true
108,7.257385,0.002060,8.360976,0,0,true
109,4.477584,0.001850,8.315606,0,0,true
110,6.713795,0.001470,8.536966,0,0,true
111,6.882645,0.002020,7.773916,0,0,true
112,4.593913,0.001660,8.941007,0,0,true
113,7.436986,0.001900,7.653695,0,0,true
114,6.406415,0.048460,8.502176,87,32,true
115,7.827895,0.520550,8.800167,68,32,true
116,5.069954,0.503461,7.831485,36,32,true
117,4.131893,0.439321,8.140786,4,4,true
118,7.635086,0.099760,9.199677,0,0,true
119,6.598084,0.001460,7.638196,0,0,true
120,4.250453,0.001740,8.654296,0,0,true
121,7.373205,0.002010,8.309006,0,0,true
122,6.951345,0.001200,8.428696,0,0,true
123,4.208953,0.001600,8.007406,0,0,true
124,6.840705,0.001720,8.266896,0,0,true
125,7.317126,0.001720,8.897386,0,0,true
126,5.322544,0.001540,8.374096,0,0,true
127,5.015223,0.002260,8.381867,0,0,true
128,7.591116,0.002140,8.076125,0,0,true
129,5.439814,0.003510,7.594756,0,0,true
130,4.014633,0.002390,8.512306,0,0,true
131,7.487075,0.002400,9.072237,0,0,true
132,6.773165,0.001770,7.491125,0,0,true
133,4.444103,0.001720,8.831787,0,0,true
134,7.556745,0.068390,8.500946,87,32,true
135,7.190355,0.362450,8.613496,55,32,true
136,4.159293,0.386160,8.246366,23,23,true
137,7.330665,0.284790,8.216356,0,0,true
138,7.012855,0.001460,8.386676,0,0,true
139,3.910733,0.001430,8.069226,0,0,true
140,6.610745,0.001710,7.967456,0,0,true
141,7.609356,0.001130,8.666786,0,0,true
142,4.997494,0.001090,8.665086,0,0,true
143,5.825034,0.001360,8.054146,0,0,true
144,7.332975,0.002180,7.882966,0,0,true
145,4.432303,0.001670,8.388766,0,0,true
146,7.457716,0.001540,8.488896,0,0,true
147,6.882145,0.001370,8.512916,0,0,true
148,3.726923,0.001670,7.938596,0,0,true
149,7.437915,0.001580,8.783507,0,0,true
150,7.219345,0.001390,8.493766,0,0,true
151,4.149533,0.001220,8.278906,0,0,true
152,6.974765,0.001330,8.206626,0,0,true
153,7.000265,0.001200,8.030576,0,0,true
154,4.221043,0.002080,9.057776,0,0,true
155,7.750386,0.001540,8.278036,0,0,true
156,5.712294,0.001490,7.793546,0,0,true
157,4.185863,0.001600,8.768836,0,0,true
158,7.813436,0.001630,8.243046,0,0,true
159,6.352555,0.001150,7.816086,0,0,true
160,3.656493,0.002060,8.412176,0,0,true
161,7.937516,0.001950,8.715946,0,0,true
162,6.359195,0.001950,7.941196,0,0,true
163,3.734323,0.001450,8.415316,0,0,true
164,7.937725,0.001410,8.790837,0,0,true
165,6.675775,0.001760,7.941005,0,0,true
166,3.871933,0.001730,8.733397,0,0,true
167,7.746915,0.001930,7.930606,0,0,true
168,7.171575,0.001930,8.840406,0,0,true
169,4.059733,0.001980,8.232876,0,0,true
170,6.328515,0.001690,8.118086,0,0,true
171,7.655456,0.001990,8.389406,0,0,true
172,4.826313,0.001970,7.945076,0,0,true
173,7.060346,0.001890,9.112476,0,0,true
