frame,work_ms,stream_ms,interval_ms,pending,inflight,ready
1,19.380504,0.003430,0.000160,0,0,true
2,9.059216,0.005640,19.386934,0,0,true
3,7.979246,0.005240,9.065306,0,0,true
4,4.888024,0.004900,7.987446,0,0,true
5,3.316722,0.005090,7.952866,0,0,true
6,8.013336,0.004560,8.379436,0,0,true
7,7.627825,0.004790,8.020586,0,0,true
8,5.101304,0.005650,8.690176,0,0,true
9,7.487626,0.005150,8.164346,0,0,true
10,6.892195,0.004450,8.548486,0,0,true
11,4.931773,0.004400,8.953507,0,0,true
12,8.028035,0.004860,7.992896,0,0,true
13,5.807395,0.004720,8.034255,0,0,true
14,4.711983,0.004610,8.868217,0,0,true
15,7.993855,0.004340,7.773066,0,0,true
16,6.589945,0.004660,8.001045,0,0,true
17,4.312863,0.005040,8.651927,0,0,true
18,8.019446,0.004600,8.375436,0,0,true
19,6.855055,0.004390,8.026216,0,0,true
20,4.294753,0.004450,8.917266,0,0,true
21,8.323546,0.004710,8.356486,0,0,true
22,7.186085,0.005760,8.333366,0,0,true
23,4.433053,0.005870,8.249556,0,0,true
24,7.920006,0.005960,8.496336,0,0,true
25,6.423555,0.004540,7.927406,0,0,true
26,3.929223,0.005190,8.485626,0,0,true
27,7.640876,0.003350,7.989446,0,0,true
28,7.260856,0.002890,8.701596,0,0,true
29,4.049682,0.002980,8.322527,0,0,true
30,5.179754,0.002820,8.111805,0,0,true
31,7.816746,0.002480,8.237776,0,0,true
32,6.835205,0.002690,8.877877,0,0,true
33,3.720602,0.002820,7.897836,0,0,true
34,7.038755,0.002610,8.779256,0,0,true
35,7.144275,0.001990,8.095916,0,0,true
36,4.024613,0.001950,8.201356,0,0,true
37,6.356684,0.002440,8.085206,0,0,true
38,7.996846,0.169210,8.417366,87,32,true
39,5.443924,0.002210,9.054536,87,32,true
40,4.226493,0.004970,7.503776,87,32,true
41,7.915246,0.002350,8.285456,87,32,true
42,7.174566,0.002660,8.973756,87,32,true
43,4.076933,0.002710,8.235206,87,32,true
44,6.735535,0.002560,8.141146,87,32,true
45,8.052726,0.004010,8.795557,87,32,true
46,5.051713,0.003520,8.057766,87,32,true
47,4.952753,0.006440,8.112056,87,32,true
48,8.060106,0.005140,8.014195,87,32,true
49,7.668636,0.004310,9.123767,87,32,true
50,4.631653,0.111430,7.674586,173,32,true
51,6.097704,0.005850,8.694296,173,32,true
52,8.214276,0.199060,8.158606,171,32,true
53,5.525544,0.002360,8.219496,171,32,true
54,4.710253,0.002730,8.627536,171,32,true
55,7.730086,0.002920,8.805916,171,32,true
56,7.351065,0.551700,7.756016,153,32,true
